"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000025911",217.008708847403,1.5152400403813,0.309365022547901,4.89790354417549,9.68645598633963e-07,5.53891422952205e-05
"ENSMUSG00000080950",871.123890335247,0.745491523733857,0.242330139144893,3.0763466994426,0.00209554028609149,0.0377485007432361
"ENSMUSG00000056870",7886.83374046354,1.49087735954783,0.29499855926129,5.05384624006693,4.33000246548778e-07,2.67488601060507e-05
"ENSMUSG00000026494",1107.90527080737,-2.03859022014484,0.341763467500096,-5.96491554541086,2.4476060513978e-09,2.46986708381096e-07
"ENSMUSG00000026043",43.8208177076089,2.02447323346806,0.512317852937632,3.95159610749405,7.76316832399604e-05,0.00248032115749908
"ENSMUSG00000046101",23.2919299977151,2.51127080655864,0.666523756539968,3.76771387653915,0.00016474937544994,0.00464484933237561
"ENSMUSG00000041144",345.103657451195,1.63233424381398,0.385706308170666,4.23206519892258,2.31555258012241e-05,0.000901206598417276
"ENSMUSG00000066800",497.669014430358,1.09267368911703,0.328406528773187,3.32719843664156,0.000877238805140755,0.0185083279029744
"ENSMUSG00000079465",55.6003620035668,-2.90455193403737,0.440763433353706,-6.58982055733854,4.40358476685452e-11,6.21546480288751e-09
"ENSMUSG00000097564",53.295667031034,-2.10605733525164,0.387829417178423,-5.43037026580872,5.62372493639378e-08,4.28036483981289e-06
"ENSMUSG00000026489",2192.97490259913,1.13048374369988,0.348181423375946,3.2468238332154,0.00116700600712618,0.0235274638503448
"ENSMUSG00000025938",237.782524464214,-1.66923377710964,0.390807899431966,-4.27123857919925,1.94390307996982e-05,0.000778294121838545
"ENSMUSG00000043015",861.030725436728,0.867974786157601,0.246481803296433,3.52145584197031,0.000429184141684656,0.0102699757803491
"ENSMUSG00000026228",40.8809949401411,-3.09400248803294,0.556825609685053,-5.55650177401672,2.75234924776425e-08,2.2079187256975e-06
"ENSMUSG00000042686",634.490339656256,-1.73504122235071,0.298599306963206,-5.81060029909749,6.22492245536993e-09,5.83285696122709e-07
"ENSMUSG00000042807",593.500717032584,1.27201683774726,0.334603146763752,3.80156866440163,0.00014378287921404,0.00416428829786013
"ENSMUSG00000026509",87568.7663825028,-0.715102558978127,0.217373565921991,-3.28974020343742,0.00100279924062663,0.020745293010403
"ENSMUSG00000073676",31500.8247847434,-0.65769186572421,0.202555971528535,-3.24696359609204,0.00116643308386372,0.0235274638503448
"ENSMUSG00000025934",119.719905821892,2.7533994568543,0.440553178242802,6.24986855806274,4.10798256858158e-10,4.82169048747041e-08
"ENSMUSG00000039384",5765.84148803099,-0.786072932603762,0.228311134812182,-3.4429899060789,0.00057532078673185,0.0130388504724665
"ENSMUSG00000103308",214.684904182177,0.971749483904287,0.316676745947448,3.06858490981698,0.00215075199130327,0.0385562059148345
"ENSMUSG00000026405",7397.38095262152,3.22096789055016,0.273597010225473,11.7726721059406,5.39869338657508e-32,1.09451146558192e-28
"ENSMUSG00000042510",896.380709283135,1.06104458735337,0.233234942381425,4.54925225405623,5.38368755586484e-06,0.000258197024050197
"ENSMUSG00000026725",36.7604310577982,-2.35141536348992,0.622094090546612,-3.77983877233718,0.000156929942770855,0.00448104309056701
"ENSMUSG00000026141",37.7591643508958,2.33082095607899,0.473488099272772,4.92266006190839,8.53756833432878e-07,4.94535873828224e-05
"ENSMUSG00000026259",145.652231307276,1.73785438378791,0.351235671363551,4.94782997706722,7.50454146305842e-07,4.3811198734991e-05
"ENSMUSG00000026611",97.7586544274929,1.22672086933122,0.323718843433729,3.78946389502454,0.000150972751395114,0.00433020917007395
"ENSMUSG00000079434",45.4554080561709,2.90962851968279,0.515967266121209,5.63917269705103,1.70869102847883e-08,1.45440910786666e-06
"ENSMUSG00000026610",18.3429569380725,4.96846232461085,1.05842796885236,4.6941903188727,2.67664753472552e-06,0.000137222796946928
"ENSMUSG00000047528",64.1351179525252,-2.02409026331699,0.415282053004964,-4.87401333303655,1.09353604563237e-06,6.14370626616686e-05
"ENSMUSG00000037624",103.365131288821,-2.86618153951735,0.38403962721248,-7.46324424987414,8.44176483671648e-14,1.86395839231301e-11
"ENSMUSG00000026435",229.054592149424,-1.00335712221407,0.27154299960286,-3.69502113360134,0.000219868498738729,0.00583030605276146
"ENSMUSG00000037568",705.289792275177,-1.08084025528145,0.274708491887147,-3.93449888591528,8.33704554874959e-05,0.00263349083261565
